Package.TimeStamp,Sigheader.timestamp,Sigheader.counter,Package.Name
0,100,0,Trigger_A
1,100,0,DataPackage_A
2,110,1,Trigger_A
3,110,1,DataPackage_A
4,120,2,Trigger_A
5,120,2,DataPackage_A
6,130,0,Trigger_B
7,130,0,DataPackage_B
8,130,3,Trigger_A
9,130,3,DataPackage_A
10,140,4,Trigger_A
11,140,4,DataPackage_A
12,150,5,Trigger_A
13,150,5,DataPackage_A
14,160,1,Trigger_B
15,160,1,DataPackage_B
16,161,6,DataPackage_A
17,161,6,Trigger_A
18,170,7,DataPackage_A
19,170,7,Trigger_A
20,179,8,DataPackage_A
21,179,8,Trigger_A
22,191,2,DataPackage_B
23,191,2,Trigger_B
24,190,9,DataPackage_A
25,190,9,Trigger_A
26,200,10,DataPackage_A
27,200,10,Trigger_A
28,211,11,DataPackage_A
29,211,11,Trigger_A
30,220,3,DataPackage_B
31,220,3,Trigger_B
32,220,12,DataPackage_A
33,220,12,Trigger_A
34,230,13,DataPackage_A
35,230,13,Trigger_A
36,250,4,DataPackage_B
37,250,4,Trigger_B
38,241,14,DataPackage_A
39,241,14,Trigger_A
40,250,15,DataPackage_A
41,250,15,Trigger_A
42,259,16,DataPackage_A
43,259,16,Trigger_A
44,279,5,DataPackage_B
45,279,5,Trigger_B
46,270,17,DataPackage_A
47,270,17,Trigger_A
48,290,19,DataPackage_A
49,290,19,Trigger_A
50,300,20,DataPackage_A
51,300,20,Trigger_A
52,310,21,DataPackage_A
53,310,21,Trigger_A
54,310,6,DataPackage_B
55,310,6,Trigger_B
56,320,22,DataPackage_A
57,320,22,Trigger_A
58,330,23,DataPackage_A
59,330,23,Trigger_A
60,340,24,DataPackage_A
61,340,24,Trigger_A
62,340,7,DataPackage_B
63,340,7,Trigger_B
64,390,25,DataPackage_A
65,390,25,Trigger_A
66,400,26,DataPackage_A
67,400,26,Trigger_A
68,410,27,DataPackage_A
69,410,27,Trigger_A
70,409,8,DataPackage_B
71,409,8,Trigger_B
72,420,28,DataPackage_A
73,420,28,Trigger_A
74,430,29,DataPackage_A
75,430,29,Trigger_A
76,440,30,DataPackage_A
77,440,30,Trigger_A
78,439,9,DataPackage_B
79,439,9,Trigger_B
